index	label
1	R_Hippocampus
2	L_Hippocampus
3	R_Amygdala
4	L_Amygdala
5	R_Anterior_temporal_lobe_medial_part
6	L_Anterior_temporal_lobe_medial_part
7	R_Anterior_temporal_lobe_lateral_part
8	L_Anterior_temporal_lobe_lateral_part
9	R_Parahippocampal_and_ambient_gyri
10	L_Parahippocampal_and_ambient_gyri
11	R_Superior_temporal_gyrus_posterior_part
12	L_Superior_temporal_gyrus_posterior_part
13	R_Middle_and_inferior_temporal_gyrus
14	L_Middle_and_inferior_temporal_gyrus
15	R_Fusiform_gyrus
16	L_Fusiform_gyrus
17	R_Cerebellum
18	L_Cerebellum
19	Brainstem
20	L_Insula
21	R_Insula
22	L_Lateral_remainder_occipital_lobe
23	R_Lateral_remainder_occipital_lobe
24	L_Cingulate_gyrus_anterior_part
25	R_Cingulate_gyrus_anterior_part
26	L_Cingulate_gyrus_posterior_part
27	R_Cingulate_gyrus_posterior_part
28	L_Middle_frontal_gyrus
29	R_Middle_frontal_gyrus
30	L_Posterior_temporal_lobe
31	R_Posterior_temporal_lobe
32	L_Inferiolateral_remainder_parietal_lobe
33	R_Inferiolateral_remainder_parietal_lobe
34	L_Caudate_nucleus
35	R_Caudate_nucleus
36	L_Nucleus_accumbens
37	R_Nucleus_accumbens
38	L_Putamen
39	R_Putamen
40	L_Thalamus
41	R_Thalamus
42	L_Pallidum
43	R_Pallidum
44	Corpus_callosum
45	R_Lateral_ventricle_no_temporal_horn
46	L_Lateral_ventricle_no_temporal_horn
47	R_Lateral_ventricle_temporal_horn
48	L_Lateral_ventricle_temporal_horn
49	Third_ventricle
50	L_Precentral_gyrus
51	R_Precentral_gyrus
52	L_Straight_gyrus
53	R_Straight_gyrus
54	L_Anterior_orbital_gyrus
55	R_Anterior_orbital_gyrus
56	L_Inferior_frontal_gyrus
57	R_Inferior_frontal_gyrus
58	L_Superior_frontal_gyrus
59	R_Superior_frontal_gyrus
60	L_Postcentral_gyrus
61	R_Postcentral_gyrus
62	L_Superior_parietal_gyrus
63	R_Superior_parietal_gyrus
64	L_Lingual_gyrus
65	R_Lingual_gyrus
66	L_Cuneus
67	R_Cuneus
68	L_Medial_orbital_gyrus
69	R_Medial_orbital_gyrus
70	L_Lateral_orbital_gyrus
71	R_Lateral_orbital_gyrus
72	L_Posterior_orbital_gyrus
73	R_Posterior_orbital_gyrus
74	L_Substantia_nigra
75	R_Substantia_nigra
76	L_Subgenual_frontal_cortex
77	R_Subgenual_frontal_cortex
78	L_Subcallosal_area
79	R_Subcallosal_area
80	L_Pre-subgenual_frontal_cortex
81	R_Pre-subgenual_frontal_cortex
82	L_Superior_temporal_gyrus_anterior_part
83	R_Superior_temporal_gyrus_anterior_part
